English,Hyphenation,Pronunciation (British),Français,Césure,Español,Silabación 
Aalenian,Aa-le-ni-an,,Aalénien,Aa-lé-nien,Aaleniense,A-a-le-nien-se
Aeronian,Aer-o-ni-an,,Aéronien,Aé-ro-nien,Aeroniense,A-e-ro-nien-se
Albian,Al-bi-an,,Albien,Al-bien,Albiense,Al-bien-se
Anisian,Ani-si-an,,Anisien,A-ni-sien,Anisiense,A-ni-sien-se
Aptian,Ap-ti-an,,Aptien,Ap-tien,Aptiense,Ap-tien-se
Aquitanian,Aq-ui-ta-ni-an,,Aquitanien,A-qui-ta-nien,Aquitaniense,A-qui-ta-nien-se
Archean,Ar-che-an,,Archéen,Ar-chéen,Arcaico,Ar-cai-co
Artinskian,Art-in-ski-an,,Artinskien,Ar-tins-kien,Artinskiense,Ar-tins-kien-se
Asselian,As-sel-ian,,Assélien,As-sé-lien,Asseliense,As-se-lien-se
Bajocian,Ba-jo-ci-an,,Bajocien,Ba-jo-cien,Bajociense,Ba-jo-cien-se
Barremian,Bar-re-mi-an,,Barrémien,Bar-ré-mien,Barremiense,Ba-rre-mien-se
Bartonian,Bar-to-ni-an,,Bartonien,Bar-to-nien,Bartoniense,Bar-to-nien-se
Bashkirian,Bash-kiri-an,,Bashkirien,Bash-ki-rien,Bashkiriense,Bash-ki-rien-se
Bathonian,Batho-ni-an,,Bathonien,Ba-tho-nien,Bathoniense,Ba-tho-nien-se
Berriasian,Ber-ri-a-sian,,Berriasien,Ber-ria-sien,Berriasiense,Be-rria-sien-se
Burdigalian,Bur-di-gal-i-an,,Burdigalien,Bur-diga-lien,Burdigaliense,Bur-diga-lien-se
Calabrian,Ca-la-bri-an,,Calabrien,Ca-la-brien,Calabriense,Ca-la-brien-se
Callovian,Call-o-v-i-an,,Callovien,Cal-lo-vien,Calímico,Ca-lí-mi-co
Calymmian,Cal-ym-mi-an,,Calymmien,Ca-lym-mien,Calloviense,Ca-llo-vien-se
Cambrian,Cam-bri-an,ˈkæmbɹiən,Cambrien,Cam-brien,Cámbrico,Cám-bri-co
Campanian,Cam-pa-ni-an,,Campanien,Cam-pa-nien,Campaniense,Cam-pa-nien-se
Capitanian,Cap-i-ta-ni-an,,Capitanien,Ca-pi-ta-nien,Capitaniense,Ca-pi-ta-nien-se
Carboniferous,Car-bon-if-er-ous,ˌkɑɹbəˈnɪfɝəs,Carbonifère,Car-bo-ni-fè-re,Carbonífero,Car-bo-ní-fe-ro
Carnian,Car-ni-an,,Carnien,Car-nien,Carniense,Car-nien-se
Cenomanian,Cenoma-ni-an,,Cénomanien,Cé-no-ma-nien,Cenomaniense,Ce-no-ma-nien-se
Cenozoic,Ce-no-zo-ic,ˌsinəˈzoʊɪk,Cénozoïque,Cé-no-zoï-que,Cenozoico,Ce-no-zoi-co
Changhsingian,Changhsin-gi-an,,Changhsingien,Changh-sin-gien,Changhsingiense,Changh-sin-gien-se
Chattian,Chat-ti-an,,Chattien,Chat-tien,Chattiense,Cha-ttien-se
Chibanian,Chi-ba-ni-an,,Chibanien,Chi-ba-nien,Chibaniense,Chi-ba-nien-se
Cisuralian,Cis-ura-li-an,,Cisuralien,Ci-su-ra-lien,Cisuraliense,Ci-su-ra-lien-se
